Web Search interest: donald trump
United States 2004 - present

Interest over time
Week,donald trump
2005-01-23 - 2005-01-29,15
2005-01-30 - 2005-02-05,5
2005-02-06 - 2005-02-12,4
2005-02-13 - 2005-02-19,3
2005-02-20 - 2005-02-26,3
2005-02-27 - 2005-03-05,2
2005-03-06 - 2005-03-12,3
2005-03-13 - 2005-03-19,2
2005-03-20 - 2005-03-26,3
2005-03-27 - 2005-04-02,3
2005-04-03 - 2005-04-09,3
2005-04-10 - 2005-04-16,3
2005-04-17 - 2005-04-23,3
2005-04-24 - 2005-04-30,4
2005-05-01 - 2005-05-07,3
2005-05-08 - 2005-05-14,3
2005-05-15 - 2005-05-21,6
2005-05-22 - 2005-05-28,6
2005-05-29 - 2005-06-04,2
2005-06-05 - 2005-06-11,2
2005-06-12 - 2005-06-18,2
2005-06-19 - 2005-06-25,2
2005-06-26 - 2005-07-02,2
2005-07-03 - 2005-07-09,1
2005-07-10 - 2005-07-16,2
2005-07-17 - 2005-07-23,2
2005-07-24 - 2005-07-30,2
2005-07-31 - 2005-08-06,1
2005-08-07 - 2005-08-13,1
2005-08-14 - 2005-08-20,2
2005-08-21 - 2005-08-27,2
2005-08-28 - 2005-09-03,2
2005-09-04 - 2005-09-10,2
2005-09-11 - 2005-09-17,2
2005-09-18 - 2005-09-24,5
2005-09-25 - 2005-10-01,5
2005-10-02 - 2005-10-08,3
2005-10-09 - 2005-10-15,3
2005-10-16 - 2005-10-22,3
2005-10-23 - 2005-10-29,3
2005-10-30 - 2005-11-05,3
2005-11-06 - 2005-11-12,3
2005-11-13 - 2005-11-19,3
2005-11-20 - 2005-11-26,2
2005-11-27 - 2005-12-03,3
2005-12-04 - 2005-12-10,3
2005-12-11 - 2005-12-17,5
2005-12-18 - 2005-12-24,3
2005-12-25 - 2005-12-31,2
2006-01-01 - 2006-01-07,2
2006-01-08 - 2006-01-14,2
2006-01-15 - 2006-01-21,2
2006-01-22 - 2006-01-28,3
2006-01-29 - 2006-02-04,2
2006-02-05 - 2006-02-11,2
2006-02-12 - 2006-02-18,2
2006-02-19 - 2006-02-25,5
2006-02-26 - 2006-03-04,4
2006-03-05 - 2006-03-11,4
2006-03-12 - 2006-03-18,3
2006-03-19 - 2006-03-25,7
2006-03-26 - 2006-04-01,3
2006-04-02 - 2006-04-08,3
2006-04-09 - 2006-04-15,3
2006-04-16 - 2006-04-22,3
2006-04-23 - 2006-04-29,3
2006-04-30 - 2006-05-06,3
2006-05-07 - 2006-05-13,2
2006-05-14 - 2006-05-20,2
2006-05-21 - 2006-05-27,2
2006-05-28 - 2006-06-03,2
2006-06-04 - 2006-06-10,3
2006-06-11 - 2006-06-17,2
2006-06-18 - 2006-06-24,1
2006-06-25 - 2006-07-01,1
2006-07-02 - 2006-07-08,2
2006-07-09 - 2006-07-15,1
2006-07-16 - 2006-07-22,2
2006-07-23 - 2006-07-29,2
2006-07-30 - 2006-08-05,1
2006-08-06 - 2006-08-12,2
2006-08-13 - 2006-08-19,1
2006-08-20 - 2006-08-26,1
2006-08-27 - 2006-09-02,4
2006-09-03 - 2006-09-09,3
2006-09-10 - 2006-09-16,2
2006-09-17 - 2006-09-23,3
2006-09-24 - 2006-09-30,2
2006-10-01 - 2006-10-07,2
2006-10-08 - 2006-10-14,4
2006-10-15 - 2006-10-21,3
2006-10-22 - 2006-10-28,2
2006-10-29 - 2006-11-04,2
2006-11-05 - 2006-11-11,2
2006-11-12 - 2006-11-18,2
2006-11-19 - 2006-11-25,2
2006-11-26 - 2006-12-02,2
2006-12-03 - 2006-12-09,2
2006-12-10 - 2006-12-16,2
2006-12-17 - 2006-12-23,19
2006-12-24 - 2006-12-30,8
2006-12-31 - 2007-01-06,7
2007-01-07 - 2007-01-13,11
2007-01-14 - 2007-01-20,5
2007-01-21 - 2007-01-27,4
2007-01-28 - 2007-02-03,3
2007-02-04 - 2007-02-10,3
2007-02-11 - 2007-02-17,3
2007-02-18 - 2007-02-24,3
2007-02-25 - 2007-03-03,2
2007-03-04 - 2007-03-10,3
2007-03-11 - 2007-03-17,3
2007-03-18 - 2007-03-24,3
2007-03-25 - 2007-03-31,4
2007-04-01 - 2007-04-07,6
2007-04-08 - 2007-04-14,2
2007-04-15 - 2007-04-21,2
2007-04-22 - 2007-04-28,4
2007-04-29 - 2007-05-05,2
2007-05-06 - 2007-05-12,2
2007-05-13 - 2007-05-19,3
2007-05-20 - 2007-05-26,3
2007-05-27 - 2007-06-02,3
2007-06-03 - 2007-06-09,2
2007-06-10 - 2007-06-16,2
2007-06-17 - 2007-06-23,2
2007-06-24 - 2007-06-30,1
2007-07-01 - 2007-07-07,1
2007-07-08 - 2007-07-14,2
2007-07-15 - 2007-07-21,1
2007-07-22 - 2007-07-28,1
2007-07-29 - 2007-08-04,1
2007-08-05 - 2007-08-11,1
2007-08-12 - 2007-08-18,1
2007-08-19 - 2007-08-25,1
2007-08-26 - 2007-09-01,2
2007-09-02 - 2007-09-08,1
2007-09-09 - 2007-09-15,1
2007-09-16 - 2007-09-22,2
2007-09-23 - 2007-09-29,2
2007-09-30 - 2007-10-06,2
2007-10-07 - 2007-10-13,2
2007-10-14 - 2007-10-20,3
2007-10-21 - 2007-10-27,2
2007-10-28 - 2007-11-03,2
2007-11-04 - 2007-11-10,2
2007-11-11 - 2007-11-17,2
2007-11-18 - 2007-11-24,2
2007-11-25 - 2007-12-01,2
2007-12-02 - 2007-12-08,2
2007-12-09 - 2007-12-15,2
2007-12-16 - 2007-12-22,1
2007-12-23 - 2007-12-29,1
2007-12-30 - 2008-01-05,2
2008-01-06 - 2008-01-12,2
2008-01-13 - 2008-01-19,2
2008-01-20 - 2008-01-26,2
2008-01-27 - 2008-02-02,2
2008-02-03 - 2008-02-09,2
2008-02-10 - 2008-02-16,2
2008-02-17 - 2008-02-23,2
2008-02-24 - 2008-03-01,2
2008-03-02 - 2008-03-08,2
2008-03-09 - 2008-03-15,2
2008-03-16 - 2008-03-22,2
2008-03-23 - 2008-03-29,3
2008-03-30 - 2008-04-05,2
2008-04-06 - 2008-04-12,1
2008-04-13 - 2008-04-19,2
2008-04-20 - 2008-04-26,1
2008-04-27 - 2008-05-03,1
2008-05-04 - 2008-05-10,1
2008-05-11 - 2008-05-17,2
2008-05-18 - 2008-05-24,2
2008-05-25 - 2008-05-31,1
2008-06-01 - 2008-06-07,1
2008-06-08 - 2008-06-14,1
2008-06-15 - 2008-06-21,2
2008-06-22 - 2008-06-28,1
2008-06-29 - 2008-07-05,1
2008-07-06 - 2008-07-12,1
2008-07-13 - 2008-07-19,2
2008-07-20 - 2008-07-26,1
2008-07-27 - 2008-08-02,1
2008-08-03 - 2008-08-09,1
2008-08-10 - 2008-08-16,2
2008-08-17 - 2008-08-23,2
2008-08-24 - 2008-08-30,1
2008-08-31 - 2008-09-06,1
2008-09-07 - 2008-09-13,1
2008-09-14 - 2008-09-20,2
2008-09-21 - 2008-09-27,2
2008-09-28 - 2008-10-04,2
2008-10-05 - 2008-10-11,1
2008-10-12 - 2008-10-18,1
2008-10-19 - 2008-10-25,1
2008-10-26 - 2008-11-01,1
2008-11-02 - 2008-11-08,1
2008-11-09 - 2008-11-15,1
2008-11-16 - 2008-11-22,1
2008-11-23 - 2008-11-29,1
2008-11-30 - 2008-12-06,1
2008-12-07 - 2008-12-13,2
2008-12-14 - 2008-12-20,1
2008-12-21 - 2008-12-27,1
2008-12-28 - 2009-01-03,1
2009-01-04 - 2009-01-10,1
2009-01-11 - 2009-01-17,1
2009-01-18 - 2009-01-24,1
2009-01-25 - 2009-01-31,1
2009-02-01 - 2009-02-07,1
2009-02-08 - 2009-02-14,1
2009-02-15 - 2009-02-21,3
2009-02-22 - 2009-02-28,1
2009-03-01 - 2009-03-07,2
2009-03-08 - 2009-03-14,2
2009-03-15 - 2009-03-21,2
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,2
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,2
2009-05-03 - 2009-05-09,2
2009-05-10 - 2009-05-16,4
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,1
2009-05-31 - 2009-06-06,1
2009-06-07 - 2009-06-13,2
2009-06-14 - 2009-06-20,4
2009-06-21 - 2009-06-27,3
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,1
2009-07-26 - 2009-08-01,1
2009-08-02 - 2009-08-08,1
2009-08-09 - 2009-08-15,1
2009-08-16 - 2009-08-22,1
2009-08-23 - 2009-08-29,1
2009-08-30 - 2009-09-05,1
2009-09-06 - 2009-09-12,1
2009-09-13 - 2009-09-19,1
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,1
2009-10-04 - 2009-10-10,1
2009-10-11 - 2009-10-17,1
2009-10-18 - 2009-10-24,2
2009-10-25 - 2009-10-31,2
2009-11-01 - 2009-11-07,1
2009-11-08 - 2009-11-14,2
2009-11-15 - 2009-11-21,1
2009-11-22 - 2009-11-28,1
2009-11-29 - 2009-12-05,1
2009-12-06 - 2009-12-12,1
2009-12-13 - 2009-12-19,1
2009-12-20 - 2009-12-26,1
2009-12-27 - 2010-01-02,1
2010-01-03 - 2010-01-09,1
2010-01-10 - 2010-01-16,1
2010-01-17 - 2010-01-23,1
2010-01-24 - 2010-01-30,1
2010-01-31 - 2010-02-06,1
2010-02-07 - 2010-02-13,1
2010-02-14 - 2010-02-20,1
2010-02-21 - 2010-02-27,1
2010-02-28 - 2010-03-06,1
2010-03-07 - 2010-03-13,1
2010-03-14 - 2010-03-20,2
2010-03-21 - 2010-03-27,2
2010-03-28 - 2010-04-03,2
2010-04-04 - 2010-04-10,2
2010-04-11 - 2010-04-17,2
2010-04-18 - 2010-04-24,2
2010-04-25 - 2010-05-01,3
2010-05-02 - 2010-05-08,3
2010-05-09 - 2010-05-15,2
2010-05-16 - 2010-05-22,2
2010-05-23 - 2010-05-29,2
2010-05-30 - 2010-06-05,1
2010-06-06 - 2010-06-12,1
2010-06-13 - 2010-06-19,1
2010-06-20 - 2010-06-26,1
2010-06-27 - 2010-07-03,1
2010-07-04 - 2010-07-10,1
2010-07-11 - 2010-07-17,1
2010-07-18 - 2010-07-24,1
2010-07-25 - 2010-07-31,1
2010-08-01 - 2010-08-07,1
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,2
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,2
2010-09-26 - 2010-10-02,1
2010-10-03 - 2010-10-09,3
2010-10-10 - 2010-10-16,2
2010-10-17 - 2010-10-23,2
2010-10-24 - 2010-10-30,2
2010-10-31 - 2010-11-06,2
2010-11-07 - 2010-11-13,2
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,2
2010-11-28 - 2010-12-04,2
2010-12-05 - 2010-12-11,2
2010-12-12 - 2010-12-18,2
2010-12-19 - 2010-12-25,1
2010-12-26 - 2011-01-01,1
2011-01-02 - 2011-01-08,2
2011-01-09 - 2011-01-15,2
2011-01-16 - 2011-01-22,3
2011-01-23 - 2011-01-29,2
2011-01-30 - 2011-02-05,2
2011-02-06 - 2011-02-12,8
2011-02-13 - 2011-02-19,5
2011-02-20 - 2011-02-26,3
2011-02-27 - 2011-03-05,5
2011-03-06 - 2011-03-12,7
2011-03-13 - 2011-03-19,25
2011-03-20 - 2011-03-26,14
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,19
2011-04-10 - 2011-04-16,19
2011-04-17 - 2011-04-23,21
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,11
2011-05-15 - 2011-05-21,10
2011-05-22 - 2011-05-28,6
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,5
2011-06-12 - 2011-06-18,4
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,4
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,5
2011-07-24 - 2011-07-30,4
2011-07-31 - 2011-08-06,4
2011-08-07 - 2011-08-13,4
2011-08-14 - 2011-08-20,4
2011-08-21 - 2011-08-27,4
2011-08-28 - 2011-09-03,3
2011-09-04 - 2011-09-10,3
2011-09-11 - 2011-09-17,3
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,3
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,3
2011-10-30 - 2011-11-05,3
2011-11-06 - 2011-11-12,3
2011-11-13 - 2011-11-19,3
2011-11-20 - 2011-11-26,3
2011-11-27 - 2011-12-03,3
2011-12-04 - 2011-12-10,7
2011-12-11 - 2011-12-17,5
2011-12-18 - 2011-12-24,3
2011-12-25 - 2011-12-31,3
2012-01-01 - 2012-01-07,3
2012-01-08 - 2012-01-14,3
2012-01-15 - 2012-01-21,2
2012-01-22 - 2012-01-28,2
2012-01-29 - 2012-02-04,6
2012-02-05 - 2012-02-11,3
2012-02-12 - 2012-02-18,2
2012-02-19 - 2012-02-25,3
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,3
2012-03-11 - 2012-03-17,5
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,4
2012-04-08 - 2012-04-14,3
2012-04-15 - 2012-04-21,3
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,3
2012-05-06 - 2012-05-12,2
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,4
2012-05-27 - 2012-06-02,5
2012-06-03 - 2012-06-09,3
2012-06-10 - 2012-06-16,2
2012-06-17 - 2012-06-23,2
2012-06-24 - 2012-06-30,2
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,2
2012-07-15 - 2012-07-21,2
2012-07-22 - 2012-07-28,2
2012-07-29 - 2012-08-04,2
2012-08-05 - 2012-08-11,2
2012-08-12 - 2012-08-18,2
2012-08-19 - 2012-08-25,2
2012-08-26 - 2012-09-01,3
2012-09-02 - 2012-09-08,2
2012-09-09 - 2012-09-15,2
2012-09-16 - 2012-09-22,2
2012-09-23 - 2012-09-29,2
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,2
2012-10-14 - 2012-10-20,2
2012-10-21 - 2012-10-27,70
2012-10-28 - 2012-11-03,8
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,6
2012-11-18 - 2012-11-24,3
2012-11-25 - 2012-12-01,2
2012-12-02 - 2012-12-08,2
2012-12-09 - 2012-12-15,2
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,2
2012-12-30 - 2013-01-05,2
2013-01-06 - 2013-01-12,3
2013-01-13 - 2013-01-19,3
2013-01-20 - 2013-01-26,2
2013-01-27 - 2013-02-02,3
2013-02-03 - 2013-02-09,4
2013-02-10 - 2013-02-16,3
2013-02-17 - 2013-02-23,2
2013-02-24 - 2013-03-02,3
2013-03-03 - 2013-03-09,3
2013-03-10 - 2013-03-16,3
2013-03-17 - 2013-03-23,3
2013-03-24 - 2013-03-30,4
2013-03-31 - 2013-04-06,3
2013-04-07 - 2013-04-13,4
2013-04-14 - 2013-04-20,2
2013-04-21 - 2013-04-27,2
2013-04-28 - 2013-05-04,3
2013-05-05 - 2013-05-11,3
2013-05-12 - 2013-05-18,2
2013-05-19 - 2013-05-25,3
2013-05-26 - 2013-06-01,2
2013-06-02 - 2013-06-08,2
2013-06-09 - 2013-06-15,2
2013-06-16 - 2013-06-22,2
2013-06-23 - 2013-06-29,2
2013-06-30 - 2013-07-06,2
2013-07-07 - 2013-07-13,2
2013-07-14 - 2013-07-20,2
2013-07-21 - 2013-07-27,2
2013-07-28 - 2013-08-03,2
2013-08-04 - 2013-08-10,2
2013-08-11 - 2013-08-17,2
2013-08-18 - 2013-08-24,2
2013-08-25 - 2013-08-31,4
2013-09-01 - 2013-09-07,2
2013-09-08 - 2013-09-14,2
2013-09-15 - 2013-09-21,2
2013-09-22 - 2013-09-28,2
2013-09-29 - 2013-10-05,2
2013-10-06 - 2013-10-12,2
2013-10-13 - 2013-10-19,2
2013-10-20 - 2013-10-26,1
2013-10-27 - 2013-11-02,2
2013-11-03 - 2013-11-09,1
2013-11-10 - 2013-11-16,2
2013-11-17 - 2013-11-23,1
2013-11-24 - 2013-11-30,1
2013-12-01 - 2013-12-07,1
2013-12-08 - 2013-12-14,1
2013-12-15 - 2013-12-21,2
2013-12-22 - 2013-12-28,2
2013-12-29 - 2014-01-04,2
2014-01-05 - 2014-01-11,2
2014-01-12 - 2014-01-18,1
2014-01-19 - 2014-01-25,2
2014-01-26 - 2014-02-01,2
2014-02-02 - 2014-02-08,2
2014-02-09 - 2014-02-15,1
2014-02-16 - 2014-02-22,1
2014-02-23 - 2014-03-01,1
2014-03-02 - 2014-03-08,2
2014-03-09 - 2014-03-15,2
2014-03-16 - 2014-03-22,1
2014-03-23 - 2014-03-29,1
2014-03-30 - 2014-04-05,2
2014-04-06 - 2014-04-12,2
2014-04-13 - 2014-04-19,3
2014-04-20 - 2014-04-26,2
2014-04-27 - 2014-05-03,3
2014-05-04 - 2014-05-10,2
2014-05-11 - 2014-05-17,2
2014-05-18 - 2014-05-24,1
2014-05-25 - 2014-05-31,2
2014-06-01 - 2014-06-07,1
2014-06-08 - 2014-06-14,2
2014-06-15 - 2014-06-21,2
2014-06-22 - 2014-06-28,2
2014-06-29 - 2014-07-05,2
2014-07-06 - 2014-07-12,1
2014-07-13 - 2014-07-19,2
2014-07-20 - 2014-07-26,1
2014-07-27 - 2014-08-02,2
2014-08-03 - 2014-08-09,3
2014-08-10 - 2014-08-16,2
2014-08-17 - 2014-08-23,1
2014-08-24 - 2014-08-30,2
2014-08-31 - 2014-09-06,2
2014-09-07 - 2014-09-13,2
2014-09-14 - 2014-09-20,2
2014-09-21 - 2014-09-27,1
2014-09-28 - 2014-10-04,2
2014-10-05 - 2014-10-11,2
2014-10-12 - 2014-10-18,2
2014-10-19 - 2014-10-25,2
2014-10-26 - 2014-11-01,1
2014-11-02 - 2014-11-08,1
2014-11-09 - 2014-11-15,2
2014-11-16 - 2014-11-22,1
2014-11-23 - 2014-11-29,1
2014-11-30 - 2014-12-06,1
2014-12-07 - 2014-12-13,1
2014-12-14 - 2014-12-20,2
2014-12-21 - 2014-12-27,2
2014-12-28 - 2015-01-03,2
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,2
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,2
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,2
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,2
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,72
2015-07-05 - 2015-07-11,43
2015-07-12 - 2015-07-18,65
2015-07-19 - 2015-07-25,71
2015-07-26 - 2015-08-01,44
2015-08-02 - 2015-08-08,76
2015-08-09 - 2015-08-15,68
2015-08-16 - 2015-08-22,69
2015-08-23 - 2015-08-29,87
2015-08-30 - 2015-09-05,58
2015-09-06 - 2015-09-12,48
2015-09-13 - 2015-09-19,78
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,45
2015-10-04 - 2015-10-10,35
2015-10-11 - 2015-10-17,42
2015-10-18 - 2015-10-24,37
2015-10-25 - 2015-10-31,41
2015-11-01 - 2015-11-07,32
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,38
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,63
2015-12-20 - 2015-12-26,63
2015-12-27 - 2016-01-02,38
2016-01-03 - 2016-01-09,46
2016-01-10 - 2016-01-16,54
2016-01-17 - 2016-01-23,59
2016-01-24 - 2016-01-30,86
2016-01-31 - 2016-02-06, 


Top subregions for donald trump
Subregion,donald trump
New York,100
District of Columbia,97
Nevada,97
South Carolina,96
Iowa,95
Florida,92
New Jersey,91
West Virginia,89
New Hampshire,88
Rhode Island,87
Texas,86
Connecticut,85
Michigan,83
Illinois,83
Vermont,83
Delaware,82
Arizona,82
North Carolina,82
Massachusetts,81
Georgia,81
Pennsylvania,80
Nebraska,80
California,78
Idaho,78
Maryland,78
Arkansas,78
Tennessee,77
Alabama,76
Maine,76
Indiana,75
New Mexico,73
Ohio,73
Montana,73
Utah,72
North Dakota,71
Wisconsin,70
Oklahoma,69
Washington,68
Kentucky,68
Wyoming,68
Colorado,68
Minnesota,67
Louisiana,67
Mississippi,67
South Dakota,67
Missouri,67
Alaska,64
Kansas,60
Hawaii,57
Virginia,55
Oregon,53


Top metros for donald trump
Metro,donald trump
Florence-Myrtle Beach SC,100
Greenville-New Bern-Washington NC,70
New York NY,67
Palm Springs CA,66
Traverse City-Cadillac MI,66
Las Vegas NV,63
Houston TX,63
Columbus GA,63
Des Moines-Ames IA,63
Bakersfield CA,61
Ft. Myers-Naples FL,60
Harlingen-Weslaco-Brownsville-McAllen TX,60
Orlando-Daytona Beach-Melbourne FL,60
Miami-Ft. Lauderdale FL,59
Providence RI-New Bedford MA,58
Los Angeles CA,58
Wilmington NC,57
Yakima-Pasco-Richland-Kennewick WA,57
Buffalo NY,57
Youngstown OH,56
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,56
Norfolk-Portsmouth-Newport News VA,56
Columbia-Jefferson City MO,56
Knoxville TN,56
Detroit MI,56
Charleston-Huntington WV,55
Greenville-Spartanburg SC-Asheville NC-Anderson SC,55
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
Wilkes Barre-Scranton PA,55
Gainesville FL,54
Monterey-Salinas CA,54
Richmond-Petersburg VA,54
Santa Barbara-Santa Maria-San Luis Obispo CA,54
Chattanooga TN,54
Chicago IL,54
Omaha NE,54
Macon GA,53
Tyler-Longview(Lufkin & Nacogdoches) TX,53
Hartford & New Haven CT,53
Tri-Cities TN-VA,53
Charlotte NC,53
Springfield MO,53
West Palm Beach-Ft. Pierce FL,53
Fargo-Valley City ND,53
Mobile AL-Pensacola (Ft. Walton Beach) FL,53
Boston MA-Manchester NH,53
Lexington KY,53
Ft. Smith-Fayetteville-Springdale-Rogers AR,53
Davenport IA-Rock Island-Moline IL,52
Tampa-St. Petersburg (Sarasota) FL,52
Springfield-Holyoke MA,52
Peoria-Bloomington IL,52
Portland-Auburn ME,52
Evansville IN,52
Savannah GA,52
El Paso TX,52
Phoenix AZ,52
South Bend-Elkhart IN,52
Huntsville-Decatur (Florence) AL,51
Dallas-Ft. Worth TX,51
Atlanta GA,51
Charleston SC,51
Reno NV,51
Pittsburgh PA,51
Tallahassee FL-Thomasville GA,51
Tucson (Sierra Vista) AZ,51
Nashville TN,51
Burlington VT-Plattsburgh NY,51
Shreveport LA,51
Philadelphia PA,50
Ft. Wayne IN,50
Johnstown-Altoona PA,50
Columbia SC,50
Albany-Schenectady-Troy NY,50
San Antonio TX,50
Toledo OH,49
Eugene OR,49
Champaign & Springfield-Decatur IL,49
Charlottesville VA,49
Syracuse NY,49
Raleigh-Durham (Fayetteville) NC,49
Madison WI,48
Greensboro-High Point-Winston Salem NC,48
Boise ID,48
Harrisburg-Lancaster-Lebanon-York PA,48
Birmingham AL,48
Cincinnati OH,48
Tulsa OK,48
Albuquerque-Santa Fe NM,47
Lincoln & Hastings-Kearney NE,47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Baltimore MD,47
Rochester NY,47
Spokane WA,47
Salt Lake City UT,47
Lansing MI,46
Little Rock-Pine Bluff AR,46
Sacramento-Stockton-Modesto CA,46
Jacksonville FL,46
Indianapolis IN,45
Flint-Saginaw-Bay City MI,45
Columbus OH,45
Fresno-Visalia CA,44
Washington DC (Hagerstown MD),44
Green Bay-Appleton WI,44
San Diego CA,44
Cleveland-Akron (Canton) OH,44
Baton Rouge LA,43
Denver CO,43
St. Louis MO,43
Dayton OH,43
Minneapolis-St. Paul MN,43
Seattle-Tacoma WA,43
Milwaukee WI,43
Oklahoma City OK,42
Sioux Falls(Mitchell) SD,42
Colorado Springs-Pueblo CO,42
La Crosse-Eau Claire WI,41
Austin TX,41
Anchorage AK,41
New Orleans LA,40
Jackson MS,40
Louisville KY,40
Waco-Temple-Bryan TX,40
Honolulu HI,40
Memphis TN,40
San Francisco-Oakland-San Jose CA,38
Wichita-Hutchinson KS,38
Kansas City MO,37
Augusta GA,35
Portland OR,32
Roanoke-Lynchburg VA,23
Binghamton NY,0
Erie PA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
